A112109 - Number of Workers in household (6) (Households),,,
Current date: 11/15/2022 12:36:46 PM (Eastern Standard Time),,,
RESIDENCE,Number of Workers in Household 6,Output,Households
"TAZ 00000538, Honolulu County, Hawaii",2 workers,Estimate,230
"TAZ 00000538, Honolulu County, Hawaii",2 workers,Margin of Error,86
"TAZ 00000538, Honolulu County, Hawaii",3 workers,Estimate,4
"TAZ 00000538, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000538, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000538, Honolulu County, Hawaii",4-or-more workers,Margin of Error,15
"TAZ 00000539, Honolulu County, Hawaii","Total, number of workers in household",Estimate,115
"TAZ 00000539, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,101
"TAZ 00000539, Honolulu County, Hawaii",0 workers,Estimate,75
"TAZ 00000539, Honolulu County, Hawaii",0 workers,Margin of Error,83
"TAZ 00000539, Honolulu County, Hawaii",1 worker,Estimate,0
"TAZ 00000539, Honolulu County, Hawaii",1 worker,Margin of Error,11
"TAZ 00000539, Honolulu County, Hawaii",2 workers,Estimate,0
"TAZ 00000539, Honolulu County, Hawaii",2 workers,Margin of Error,11
"TAZ 00000539, Honolulu County, Hawaii",3 workers,Estimate,40
"TAZ 00000539, Honolulu County, Hawaii",3 workers,Margin of Error,64
"TAZ 00000539, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000539, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000540, Honolulu County, Hawaii","Total, number of workers in household",Estimate,0
"TAZ 00000540, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,11
"TAZ 00000540, Honolulu County, Hawaii",0 workers,Estimate,0
"TAZ 00000540, Honolulu County, Hawaii",0 workers,Margin of Error,11
"TAZ 00000540, Honolulu County, Hawaii",1 worker,Estimate,0
"TAZ 00000540, Honolulu County, Hawaii",1 worker,Margin of Error,11
"TAZ 00000540, Honolulu County, Hawaii",2 workers,Estimate,0
"TAZ 00000540, Honolulu County, Hawaii",2 workers,Margin of Error,11
"TAZ 00000540, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000540, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000540, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000540, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000541, Honolulu County, Hawaii","Total, number of workers in household",Estimate,965
"TAZ 00000541, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,142
"TAZ 00000541, Honolulu County, Hawaii",0 workers,Estimate,140
"TAZ 00000541, Honolulu County, Hawaii",0 workers,Margin of Error,108
"TAZ 00000541, Honolulu County, Hawaii",1 worker,Estimate,180
"TAZ 00000541, Honolulu County, Hawaii",1 worker,Margin of Error,92
"TAZ 00000541, Honolulu County, Hawaii",2 workers,Estimate,395
"TAZ 00000541, Honolulu County, Hawaii",2 workers,Margin of Error,130
"TAZ 00000541, Honolulu County, Hawaii",3 workers,Estimate,185
"TAZ 00000541, Honolulu County, Hawaii",3 workers,Margin of Error,85
"TAZ 00000541, Honolulu County, Hawaii",4-or-more workers,Estimate,65
"TAZ 00000541, Honolulu County, Hawaii",4-or-more workers,Margin of Error,64
"TAZ 00000542, Honolulu County, Hawaii","Total, number of workers in household",Estimate,"1,110"
"TAZ 00000542, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,116
"TAZ 00000542, Honolulu County, Hawaii",0 workers,Estimate,80
"TAZ 00000542, Honolulu County, Hawaii",0 workers,Margin of Error,46
"TAZ 00000542, Honolulu County, Hawaii",1 worker,Estimate,445
"TAZ 00000542, Honolulu County, Hawaii",1 worker,Margin of Error,107
"TAZ 00000542, Honolulu County, Hawaii",2 workers,Estimate,415
"TAZ 00000542, Honolulu County, Hawaii",2 workers,Margin of Error,106
"TAZ 00000542, Honolulu County, Hawaii",3 workers,Estimate,110
"TAZ 00000542, Honolulu County, Hawaii",3 workers,Margin of Error,67
"TAZ 00000542, Honolulu County, Hawaii",4-or-more workers,Estimate,60
"TAZ 00000542, Honolulu County, Hawaii",4-or-more workers,Margin of Error,32
"TAZ 00000543, Honolulu County, Hawaii","Total, number of workers in household",Estimate,965
"TAZ 00000543, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,138
"TAZ 00000543, Honolulu County, Hawaii",0 workers,Estimate,125
"TAZ 00000543, Honolulu County, Hawaii",0 workers,Margin of Error,88
"TAZ 00000543, Honolulu County, Hawaii",1 worker,Estimate,350
"TAZ 00000543, Honolulu County, Hawaii",1 worker,Margin of Error,124
"TAZ 00000543, Honolulu County, Hawaii",2 workers,Estimate,245
"TAZ 00000543, Honolulu County, Hawaii",2 workers,Margin of Error,115
"TAZ 00000543, Honolulu County, Hawaii",3 workers,Estimate,165
"TAZ 00000543, Honolulu County, Hawaii",3 workers,Margin of Error,95
"TAZ 00000543, Honolulu County, Hawaii",4-or-more workers,Estimate,80
"TAZ 00000543, Honolulu County, Hawaii",4-or-more workers,Margin of Error,52
"TAZ 00000544, Honolulu County, Hawaii","Total, number of workers in household",Estimate,890
"TAZ 00000544, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,110
"TAZ 00000544, Honolulu County, Hawaii",0 workers,Estimate,55
"TAZ 00000544, Honolulu County, Hawaii",0 workers,Margin of Error,37
"TAZ 00000544, Honolulu County, Hawaii",1 worker,Estimate,215
"TAZ 00000544, Honolulu County, Hawaii",1 worker,Margin of Error,66
"TAZ 00000544, Honolulu County, Hawaii",2 workers,Estimate,380
"TAZ 00000544, Honolulu County, Hawaii",2 workers,Margin of Error,101
"TAZ 00000544, Honolulu County, Hawaii",3 workers,Estimate,95
"TAZ 00000544, Honolulu County, Hawaii",3 workers,Margin of Error,49
"TAZ 00000544, Honolulu County, Hawaii",4-or-more workers,Estimate,145
"TAZ 00000544, Honolulu County, Hawaii",4-or-more workers,Margin of Error,76
"TAZ 00000545, Honolulu County, Hawaii","Total, number of workers in household",Estimate,0
"TAZ 00000545, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,11
"TAZ 00000545, Honolulu County, Hawaii",0 workers,Estimate,0
"TAZ 00000545, Honolulu County, Hawaii",0 workers,Margin of Error,11
"TAZ 00000545, Honolulu County, Hawaii",1 worker,Estimate,0
"TAZ 00000545, Honolulu County, Hawaii",1 worker,Margin of Error,11
"TAZ 00000545, Honolulu County, Hawaii",2 workers,Estimate,0
"TAZ 00000545, Honolulu County, Hawaii",2 workers,Margin of Error,11
"TAZ 00000545, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000545, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000545, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000545, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000546, Honolulu County, Hawaii","Total, number of workers in household",Estimate,0
"TAZ 00000546, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,11
"TAZ 00000546, Honolulu County, Hawaii",0 workers,Estimate,0
"TAZ 00000546, Honolulu County, Hawaii",0 workers,Margin of Error,11
"TAZ 00000546, Honolulu County, Hawaii",1 worker,Estimate,0
"TAZ 00000546, Honolulu County, Hawaii",1 worker,Margin of Error,11
"TAZ 00000546, Honolulu County, Hawaii",2 workers,Estimate,0
"TAZ 00000546, Honolulu County, Hawaii",2 workers,Margin of Error,11
"TAZ 00000546, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000546, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000546, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000546, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000547, Honolulu County, Hawaii","Total, number of workers in household",Estimate,105
"TAZ 00000547, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,85
"TAZ 00000547, Honolulu County, Hawaii",0 workers,Estimate,65
"TAZ 00000547, Honolulu County, Hawaii",0 workers,Margin of Error,60
"TAZ 00000547, Honolulu County, Hawaii",1 worker,Estimate,40
"TAZ 00000547, Honolulu County, Hawaii",1 worker,Margin of Error,65
"TAZ 00000547, Honolulu County, Hawaii",2 workers,Estimate,0
"TAZ 00000547, Honolulu County, Hawaii",2 workers,Margin of Error,11
"TAZ 00000547, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000547, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000547, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000547, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000548, Honolulu County, Hawaii","Total, number of workers in household",Estimate,545
"TAZ 00000548, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,91
"TAZ 00000548, Honolulu County, Hawaii",0 workers,Estimate,60
"TAZ 00000548, Honolulu County, Hawaii",0 workers,Margin of Error,38
"TAZ 00000548, Honolulu County, Hawaii",1 worker,Estimate,230
"TAZ 00000548, Honolulu County, Hawaii",1 worker,Margin of Error,71
"TAZ 00000548, Honolulu County, Hawaii",2 workers,Estimate,140
"TAZ 00000548, Honolulu County, Hawaii",2 workers,Margin of Error,64
"TAZ 00000548, Honolulu County, Hawaii",3 workers,Estimate,55
"TAZ 00000548, Honolulu County, Hawaii",3 workers,Margin of Error,35
"TAZ 00000548, Honolulu County, Hawaii",4-or-more workers,Estimate,60
"TAZ 00000548, Honolulu County, Hawaii",4-or-more workers,Margin of Error,39
"TAZ 00000549, Honolulu County, Hawaii","Total, number of workers in household",Estimate,0
"TAZ 00000549, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,11
"TAZ 00000549, Honolulu County, Hawaii",0 workers,Estimate,0
"TAZ 00000549, Honolulu County, Hawaii",0 workers,Margin of Error,11
"TAZ 00000549, Honolulu County, Hawaii",1 worker,Estimate,0
"TAZ 00000549, Honolulu County, Hawaii",1 worker,Margin of Error,11
"TAZ 00000549, Honolulu County, Hawaii",2 workers,Estimate,0
"TAZ 00000549, Honolulu County, Hawaii",2 workers,Margin of Error,11
"TAZ 00000549, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000549, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000549, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000549, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000550, Honolulu County, Hawaii","Total, number of workers in household",Estimate,850
"TAZ 00000550, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,121
"TAZ 00000550, Honolulu County, Hawaii",0 workers,Estimate,40
"TAZ 00000550, Honolulu County, Hawaii",0 workers,Margin of Error,38
"TAZ 00000550, Honolulu County, Hawaii",1 worker,Estimate,260
"TAZ 00000550, Honolulu County, Hawaii",1 worker,Margin of Error,103
"TAZ 00000550, Honolulu County, Hawaii",2 workers,Estimate,330
"TAZ 00000550, Honolulu County, Hawaii",2 workers,Margin of Error,126
"TAZ 00000550, Honolulu County, Hawaii",3 workers,Estimate,180
"TAZ 00000550, Honolulu County, Hawaii",3 workers,Margin of Error,103
"TAZ 00000550, Honolulu County, Hawaii",4-or-more workers,Estimate,40
"TAZ 00000550, Honolulu County, Hawaii",4-or-more workers,Margin of Error,40
"TAZ 00000551, Honolulu County, Hawaii","Total, number of workers in household",Estimate,"1,245"
"TAZ 00000551, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,105
"TAZ 00000551, Honolulu County, Hawaii",0 workers,Estimate,125
"TAZ 00000551, Honolulu County, Hawaii",0 workers,Margin of Error,50
"TAZ 00000551, Honolulu County, Hawaii",1 worker,Estimate,290
"TAZ 00000551, Honolulu County, Hawaii",1 worker,Margin of Error,104
"TAZ 00000551, Honolulu County, Hawaii",2 workers,Estimate,605
"TAZ 00000551, Honolulu County, Hawaii",2 workers,Margin of Error,121
"TAZ 00000551, Honolulu County, Hawaii",3 workers,Estimate,120
"TAZ 00000551, Honolulu County, Hawaii",3 workers,Margin of Error,56
"TAZ 00000551, Honolulu County, Hawaii",4-or-more workers,Estimate,100
"TAZ 00000551, Honolulu County, Hawaii",4-or-more workers,Margin of Error,62
"TAZ 00000552, Honolulu County, Hawaii","Total, number of workers in household",Estimate,"2,225"
"TAZ 00000552, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,168
"TAZ 00000552, Honolulu County, Hawaii",0 workers,Estimate,175
"TAZ 00000552, Honolulu County, Hawaii",0 workers,Margin of Error,75
"TAZ 00000552, Honolulu County, Hawaii",1 worker,Estimate,930
"TAZ 00000552, Honolulu County, Hawaii",1 worker,Margin of Error,197
"TAZ 00000552, Honolulu County, Hawaii",2 workers,Estimate,990
"TAZ 00000552, Honolulu County, Hawaii",2 workers,Margin of Error,212
"TAZ 00000552, Honolulu County, Hawaii",3 workers,Estimate,85
"TAZ 00000552, Honolulu County, Hawaii",3 workers,Margin of Error,69
"TAZ 00000552, Honolulu County, Hawaii",4-or-more workers,Estimate,50
"TAZ 00000552, Honolulu County, Hawaii",4-or-more workers,Margin of Error,42
"TAZ 00000553, Honolulu County, Hawaii","Total, number of workers in household",Estimate,290
"TAZ 00000553, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,70
"TAZ 00000553, Honolulu County, Hawaii",0 workers,Estimate,20
"TAZ 00000553, Honolulu County, Hawaii",0 workers,Margin of Error,24
"TAZ 00000553, Honolulu County, Hawaii",1 worker,Estimate,85
"TAZ 00000553, Honolulu County, Hawaii",1 worker,Margin of Error,36
"TAZ 00000553, Honolulu County, Hawaii",2 workers,Estimate,95
"TAZ 00000553, Honolulu County, Hawaii",2 workers,Margin of Error,53
"TAZ 00000553, Honolulu County, Hawaii",3 workers,Estimate,60
"TAZ 00000553, Honolulu County, Hawaii",3 workers,Margin of Error,46
"TAZ 00000553, Honolulu County, Hawaii",4-or-more workers,Estimate,30
"TAZ 00000553, Honolulu County, Hawaii",4-or-more workers,Margin of Error,37
"TAZ 00000554, Honolulu County, Hawaii","Total, number of workers in household",Estimate,"1,305"
"TAZ 00000554, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,121
"TAZ 00000554, Honolulu County, Hawaii",0 workers,Estimate,130
"TAZ 00000554, Honolulu County, Hawaii",0 workers,Margin of Error,62
"TAZ 00000554, Honolulu County, Hawaii",1 worker,Estimate,585
"TAZ 00000554, Honolulu County, Hawaii",1 worker,Margin of Error,132
"TAZ 00000554, Honolulu County, Hawaii",2 workers,Estimate,325
"TAZ 00000554, Honolulu County, Hawaii",2 workers,Margin of Error,111
"TAZ 00000554, Honolulu County, Hawaii",3 workers,Estimate,165
"TAZ 00000554, Honolulu County, Hawaii",3 workers,Margin of Error,71
"TAZ 00000554, Honolulu County, Hawaii",4-or-more workers,Estimate,100
"TAZ 00000554, Honolulu County, Hawaii",4-or-more workers,Margin of Error,47
"TAZ 00000555, Honolulu County, Hawaii","Total, number of workers in household",Estimate,"1,705"
"TAZ 00000555, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,65
"TAZ 00000555, Honolulu County, Hawaii",0 workers,Estimate,75
"TAZ 00000555, Honolulu County, Hawaii",0 workers,Margin of Error,61
"TAZ 00000555, Honolulu County, Hawaii",1 worker,Estimate,635
"TAZ 00000555, Honolulu County, Hawaii",1 worker,Margin of Error,124
"TAZ 00000555, Honolulu County, Hawaii",2 workers,Estimate,660
"TAZ 00000555, Honolulu County, Hawaii",2 workers,Margin of Error,128
"TAZ 00000555, Honolulu County, Hawaii",3 workers,Estimate,200
"TAZ 00000555, Honolulu County, Hawaii",3 workers,Margin of Error,87
"TAZ 00000555, Honolulu County, Hawaii",4-or-more workers,Estimate,130
"TAZ 00000555, Honolulu County, Hawaii",4-or-more workers,Margin of Error,59
"TAZ 00000556, Honolulu County, Hawaii","Total, number of workers in household",Estimate,580
"TAZ 00000556, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,79
"TAZ 00000556, Honolulu County, Hawaii",0 workers,Estimate,100
"TAZ 00000556, Honolulu County, Hawaii",0 workers,Margin of Error,50
"TAZ 00000556, Honolulu County, Hawaii",1 worker,Estimate,140
"TAZ 00000556, Honolulu County, Hawaii",1 worker,Margin of Error,65
"TAZ 00000556, Honolulu County, Hawaii",2 workers,Estimate,205
"TAZ 00000556, Honolulu County, Hawaii",2 workers,Margin of Error,72
"TAZ 00000556, Honolulu County, Hawaii",3 workers,Estimate,65
"TAZ 00000556, Honolulu County, Hawaii",3 workers,Margin of Error,40
"TAZ 00000556, Honolulu County, Hawaii",4-or-more workers,Estimate,70
"TAZ 00000556, Honolulu County, Hawaii",4-or-more workers,Margin of Error,43
"TAZ 00000557, Honolulu County, Hawaii","Total, number of workers in household",Estimate,560
"TAZ 00000557, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,85
"TAZ 00000557, Honolulu County, Hawaii",0 workers,Estimate,95
"TAZ 00000557, Honolulu County, Hawaii",0 workers,Margin of Error,45
"TAZ 00000557, Honolulu County, Hawaii",1 worker,Estimate,160
"TAZ 00000557, Honolulu County, Hawaii",1 worker,Margin of Error,66
"TAZ 00000557, Honolulu County, Hawaii",2 workers,Estimate,110
"TAZ 00000557, Honolulu County, Hawaii",2 workers,Margin of Error,58
"TAZ 00000557, Honolulu County, Hawaii",3 workers,Estimate,140
"TAZ 00000557, Honolulu County, Hawaii",3 workers,Margin of Error,56
"TAZ 00000557, Honolulu County, Hawaii",4-or-more workers,Estimate,55
"TAZ 00000557, Honolulu County, Hawaii",4-or-more workers,Margin of Error,43
"TAZ 00000558, Honolulu County, Hawaii","Total, number of workers in household",Estimate,630
"TAZ 00000558, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,91
"TAZ 00000558, Honolulu County, Hawaii",0 workers,Estimate,100
"TAZ 00000558, Honolulu County, Hawaii",0 workers,Margin of Error,70
"TAZ 00000558, Honolulu County, Hawaii",1 worker,Estimate,90
"TAZ 00000558, Honolulu County, Hawaii",1 worker,Margin of Error,40
"TAZ 00000558, Honolulu County, Hawaii",2 workers,Estimate,190
"TAZ 00000558, Honolulu County, Hawaii",2 workers,Margin of Error,93
"TAZ 00000558, Honolulu County, Hawaii",3 workers,Estimate,95
"TAZ 00000558, Honolulu County, Hawaii",3 workers,Margin of Error,65
"TAZ 00000558, Honolulu County, Hawaii",4-or-more workers,Estimate,150
"TAZ 00000558, Honolulu County, Hawaii",4-or-more workers,Margin of Error,75
"TAZ 00000559, Honolulu County, Hawaii","Total, number of workers in household",Estimate,100
"TAZ 00000559, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,45
"TAZ 00000559, Honolulu County, Hawaii",0 workers,Estimate,10
"TAZ 00000559, Honolulu County, Hawaii",0 workers,Margin of Error,13
"TAZ 00000559, Honolulu County, Hawaii",1 worker,Estimate,35
"TAZ 00000559, Honolulu County, Hawaii",1 worker,Margin of Error,23
"TAZ 00000559, Honolulu County, Hawaii",2 workers,Estimate,20
"TAZ 00000559, Honolulu County, Hawaii",2 workers,Margin of Error,37
"TAZ 00000559, Honolulu County, Hawaii",3 workers,Estimate,25
"TAZ 00000559, Honolulu County, Hawaii",3 workers,Margin of Error,21
"TAZ 00000559, Honolulu County, Hawaii",4-or-more workers,Estimate,10
"TAZ 00000559, Honolulu County, Hawaii",4-or-more workers,Margin of Error,13
"TAZ 00000560, Honolulu County, Hawaii","Total, number of workers in household",Estimate,150
"TAZ 00000560, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,65
"TAZ 00000560, Honolulu County, Hawaii",0 workers,Estimate,0
"TAZ 00000560, Honolulu County, Hawaii",0 workers,Margin of Error,11
"TAZ 00000560, Honolulu County, Hawaii",1 worker,Estimate,110
"TAZ 00000560, Honolulu County, Hawaii",1 worker,Margin of Error,72
"TAZ 00000560, Honolulu County, Hawaii",2 workers,Estimate,25
"TAZ 00000560, Honolulu County, Hawaii",2 workers,Margin of Error,27
"TAZ 00000560, Honolulu County, Hawaii",3 workers,Estimate,15
"TAZ 00000560, Honolulu County, Hawaii",3 workers,Margin of Error,23
"TAZ 00000560, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000560, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000561, Honolulu County, Hawaii","Total, number of workers in household",Estimate,"1,275"
"TAZ 00000561, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,109
"TAZ 00000561, Honolulu County, Hawaii",0 workers,Estimate,95
"TAZ 00000561, Honolulu County, Hawaii",0 workers,Margin of Error,45
"TAZ 00000561, Honolulu County, Hawaii",1 worker,Estimate,610
"TAZ 00000561, Honolulu County, Hawaii",1 worker,Margin of Error,107
"TAZ 00000561, Honolulu County, Hawaii",2 workers,Estimate,465
"TAZ 00000561, Honolulu County, Hawaii",2 workers,Margin of Error,100
"TAZ 00000561, Honolulu County, Hawaii",3 workers,Estimate,75
"TAZ 00000561, Honolulu County, Hawaii",3 workers,Margin of Error,41
"TAZ 00000561, Honolulu County, Hawaii",4-or-more workers,Estimate,30
"TAZ 00000561, Honolulu County, Hawaii",4-or-more workers,Margin of Error,31
"TAZ 00000562, Honolulu County, Hawaii","Total, number of workers in household",Estimate,345
"TAZ 00000562, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,84
"TAZ 00000562, Honolulu County, Hawaii",0 workers,Estimate,30
"TAZ 00000562, Honolulu County, Hawaii",0 workers,Margin of Error,29
"TAZ 00000562, Honolulu County, Hawaii",1 worker,Estimate,175
"TAZ 00000562, Honolulu County, Hawaii",1 worker,Margin of Error,56
"TAZ 00000562, Honolulu County, Hawaii",2 workers,Estimate,65
"TAZ 00000562, Honolulu County, Hawaii",2 workers,Margin of Error,53
"TAZ 00000562, Honolulu County, Hawaii",3 workers,Estimate,65
"TAZ 00000562, Honolulu County, Hawaii",3 workers,Margin of Error,61
"TAZ 00000562, Honolulu County, Hawaii",4-or-more workers,Estimate,10
"TAZ 00000562, Honolulu County, Hawaii",4-or-more workers,Margin of Error,13
"TAZ 00000563, Honolulu County, Hawaii","Total, number of workers in household",Estimate,900
"TAZ 00000563, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,112
"TAZ 00000563, Honolulu County, Hawaii",0 workers,Estimate,220
"TAZ 00000563, Honolulu County, Hawaii",0 workers,Margin of Error,73
"TAZ 00000563, Honolulu County, Hawaii",1 worker,Estimate,285
"TAZ 00000563, Honolulu County, Hawaii",1 worker,Margin of Error,95
"TAZ 00000563, Honolulu County, Hawaii",2 workers,Estimate,140
"TAZ 00000563, Honolulu County, Hawaii",2 workers,Margin of Error,66
"TAZ 00000563, Honolulu County, Hawaii",3 workers,Estimate,60
"TAZ 00000563, Honolulu County, Hawaii",3 workers,Margin of Error,37
"TAZ 00000563, Honolulu County, Hawaii",4-or-more workers,Estimate,195
"TAZ 00000563, Honolulu County, Hawaii",4-or-more workers,Margin of Error,72
"TAZ 00000564, Honolulu County, Hawaii","Total, number of workers in household",Estimate,"2,800"
"TAZ 00000564, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,163
"TAZ 00000564, Honolulu County, Hawaii",0 workers,Estimate,255
"TAZ 00000564, Honolulu County, Hawaii",0 workers,Margin of Error,100
"TAZ 00000564, Honolulu County, Hawaii",1 worker,Estimate,"1,230"
"TAZ 00000564, Honolulu County, Hawaii",1 worker,Margin of Error,211
"TAZ 00000564, Honolulu County, Hawaii",2 workers,Estimate,930
"TAZ 00000564, Honolulu County, Hawaii",2 workers,Margin of Error,166
"TAZ 00000564, Honolulu County, Hawaii",3 workers,Estimate,245
"TAZ 00000564, Honolulu County, Hawaii",3 workers,Margin of Error,97
"TAZ 00000564, Honolulu County, Hawaii",4-or-more workers,Estimate,145
"TAZ 00000564, Honolulu County, Hawaii",4-or-more workers,Margin of Error,69
"TAZ 00000565, Honolulu County, Hawaii","Total, number of workers in household",Estimate,470
"TAZ 00000565, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,112
"TAZ 00000565, Honolulu County, Hawaii",0 workers,Estimate,40
"TAZ 00000565, Honolulu County, Hawaii",0 workers,Margin of Error,34
"TAZ 00000565, Honolulu County, Hawaii",1 worker,Estimate,215
"TAZ 00000565, Honolulu County, Hawaii",1 worker,Margin of Error,69
"TAZ 00000565, Honolulu County, Hawaii",2 workers,Estimate,130
"TAZ 00000565, Honolulu County, Hawaii",2 workers,Margin of Error,87
"TAZ 00000565, Honolulu County, Hawaii",3 workers,Estimate,80
"TAZ 00000565, Honolulu County, Hawaii",3 workers,Margin of Error,62
"TAZ 00000565, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000565, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000566, Honolulu County, Hawaii","Total, number of workers in household",Estimate,630
"TAZ 00000566, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,93
"TAZ 00000566, Honolulu County, Hawaii",0 workers,Estimate,10
"TAZ 00000566, Honolulu County, Hawaii",0 workers,Margin of Error,18
"TAZ 00000566, Honolulu County, Hawaii",1 worker,Estimate,195
"TAZ 00000566, Honolulu County, Hawaii",1 worker,Margin of Error,85
"TAZ 00000566, Honolulu County, Hawaii",2 workers,Estimate,335
"TAZ 00000566, Honolulu County, Hawaii",2 workers,Margin of Error,94
"TAZ 00000566, Honolulu County, Hawaii",3 workers,Estimate,35
"TAZ 00000566, Honolulu County, Hawaii",3 workers,Margin of Error,31
"TAZ 00000566, Honolulu County, Hawaii",4-or-more workers,Estimate,50
"TAZ 00000566, Honolulu County, Hawaii",4-or-more workers,Margin of Error,38
"TAZ 00000567, Honolulu County, Hawaii","Total, number of workers in household",Estimate,90
"TAZ 00000567, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,25
"TAZ 00000567, Honolulu County, Hawaii",0 workers,Estimate,4
"TAZ 00000567, Honolulu County, Hawaii",0 workers,Margin of Error,10
"TAZ 00000567, Honolulu County, Hawaii",1 worker,Estimate,45
"TAZ 00000567, Honolulu County, Hawaii",1 worker,Margin of Error,24
"TAZ 00000567, Honolulu County, Hawaii",2 workers,Estimate,40
"TAZ 00000567, Honolulu County, Hawaii",2 workers,Margin of Error,27
"TAZ 00000567, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000567, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000567, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000567, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000568, Honolulu County, Hawaii","Total, number of workers in household",Estimate,910
"TAZ 00000568, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,120
"TAZ 00000568, Honolulu County, Hawaii",0 workers,Estimate,245
"TAZ 00000568, Honolulu County, Hawaii",0 workers,Margin of Error,87
"TAZ 00000568, Honolulu County, Hawaii",1 worker,Estimate,180
"TAZ 00000568, Honolulu County, Hawaii",1 worker,Margin of Error,87
"TAZ 00000568, Honolulu County, Hawaii",2 workers,Estimate,140
"TAZ 00000568, Honolulu County, Hawaii",2 workers,Margin of Error,80
"TAZ 00000568, Honolulu County, Hawaii",3 workers,Estimate,150
"TAZ 00000568, Honolulu County, Hawaii",3 workers,Margin of Error,90
"TAZ 00000568, Honolulu County, Hawaii",4-or-more workers,Estimate,195
"TAZ 00000568, Honolulu County, Hawaii",4-or-more workers,Margin of Error,106
"TAZ 00000569, Honolulu County, Hawaii","Total, number of workers in household",Estimate,730
"TAZ 00000569, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,119
"TAZ 00000569, Honolulu County, Hawaii",0 workers,Estimate,55
"TAZ 00000569, Honolulu County, Hawaii",0 workers,Margin of Error,40
"TAZ 00000569, Honolulu County, Hawaii",1 worker,Estimate,140
