A112109 - Number of Workers in household (6) (Households),,,
Current date: 11/15/2022 12:36:46 PM (Eastern Standard Time),,,
RESIDENCE,Number of Workers in Household 6,Output,Households
"TAZ 00000025, Honolulu County, Hawaii",1 worker,Margin of Error,75
"TAZ 00000025, Honolulu County, Hawaii",2 workers,Estimate,160
"TAZ 00000025, Honolulu County, Hawaii",2 workers,Margin of Error,76
"TAZ 00000025, Honolulu County, Hawaii",3 workers,Estimate,15
"TAZ 00000025, Honolulu County, Hawaii",3 workers,Margin of Error,23
"TAZ 00000025, Honolulu County, Hawaii",4-or-more workers,Estimate,30
"TAZ 00000025, Honolulu County, Hawaii",4-or-more workers,Margin of Error,33
"TAZ 00000026, Honolulu County, Hawaii","Total, number of workers in household",Estimate,250
"TAZ 00000026, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,61
"TAZ 00000026, Honolulu County, Hawaii",0 workers,Estimate,25
"TAZ 00000026, Honolulu County, Hawaii",0 workers,Margin of Error,18
"TAZ 00000026, Honolulu County, Hawaii",1 worker,Estimate,115
"TAZ 00000026, Honolulu County, Hawaii",1 worker,Margin of Error,46
"TAZ 00000026, Honolulu County, Hawaii",2 workers,Estimate,90
"TAZ 00000026, Honolulu County, Hawaii",2 workers,Margin of Error,51
"TAZ 00000026, Honolulu County, Hawaii",3 workers,Estimate,10
"TAZ 00000026, Honolulu County, Hawaii",3 workers,Margin of Error,15
"TAZ 00000026, Honolulu County, Hawaii",4-or-more workers,Estimate,15
"TAZ 00000026, Honolulu County, Hawaii",4-or-more workers,Margin of Error,22
"TAZ 00000027, Honolulu County, Hawaii","Total, number of workers in household",Estimate,255
"TAZ 00000027, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,68
"TAZ 00000027, Honolulu County, Hawaii",0 workers,Estimate,25
"TAZ 00000027, Honolulu County, Hawaii",0 workers,Margin of Error,23
"TAZ 00000027, Honolulu County, Hawaii",1 worker,Estimate,75
"TAZ 00000027, Honolulu County, Hawaii",1 worker,Margin of Error,46
"TAZ 00000027, Honolulu County, Hawaii",2 workers,Estimate,115
"TAZ 00000027, Honolulu County, Hawaii",2 workers,Margin of Error,65
"TAZ 00000027, Honolulu County, Hawaii",3 workers,Estimate,10
"TAZ 00000027, Honolulu County, Hawaii",3 workers,Margin of Error,14
"TAZ 00000027, Honolulu County, Hawaii",4-or-more workers,Estimate,30
"TAZ 00000027, Honolulu County, Hawaii",4-or-more workers,Margin of Error,25
"TAZ 00000028, Honolulu County, Hawaii","Total, number of workers in household",Estimate,200
"TAZ 00000028, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,63
"TAZ 00000028, Honolulu County, Hawaii",0 workers,Estimate,55
"TAZ 00000028, Honolulu County, Hawaii",0 workers,Margin of Error,47
"TAZ 00000028, Honolulu County, Hawaii",1 worker,Estimate,70
"TAZ 00000028, Honolulu County, Hawaii",1 worker,Margin of Error,40
"TAZ 00000028, Honolulu County, Hawaii",2 workers,Estimate,60
