TAZ,Agriculture,FIRE,Hotel,TransportConstruction,Services,Healthcare,Retail,Wholesale,Education,Manufacturing,Military,Public
622,0,160,0,663,176,0,214,284,1,286,0,7
623,12,90,0,788,91,3,138,59,0,143,0,0
624,0,250,0,98,438,234,1678,367,42,2,0,25
625,0,11,0,9,12,0,4,0,0,0,0,0
626,0,5,0,0,1,0,0,0,0,0,0,0
627,0,5,0,3,0,0,0,0,0,0,0,0
628,0,693,5,287,242,706,532,15,78,69,0,0
629,0,119,8,144,264,183,67,13,3,17,0,10
630,0,600,8,220,269,463,77,40,10,28,0,5
631,4,1260,12,561,409,804,36,12,24,20,0,5
632,5,1094,3,60,1481,134,4533,23,18,59,0,13
633,0,113,555,99,297,52,34,0,0,0,0,8
634,0,92,0,19,8,46,9,0,1,0,0,0
635,0,5,0,0,7,0,31,0,11,0,0,0
636,0,66,3900,15,318,3,220,3,0,0,0,0
637,0,0,0,0,104,0,9,0,0,0,8,0
638,0,0,0,0,0,0,8,0,0,0,0,0
639,0,13,0,93,108,16,20,0,40,0,0,2
640,0,323,0,99,243,183,154,19,0,13,0,17
641,5,28,0,8,135,54,25,2,31,7,0,0
642,0,26,0,0,124,5,147,9,20,8,0,0
643,3,238,0,8,107,16,19,0,0,0,0,0
644,0,240,0,30,445,122,40,5,13,13,0,12
645,0,39,0,3,21,15,253,10,0,5,0,0
646,0,70,0,60,85,14,11,0,30,3,0,0
647,0,89,3,15,27,0,16,0,0,3,0,0
648,0,13,0,6,0,5,7,0,0,0,0,0
649,0,0,0,0,2,0,1,0,0,4,0,0
650,0,69,0,4,96,19,21,1,2,0,0,0
651,1,9,0,3,16,1,12,0,27,0,0,0
652,0,75,0,8,5,23,3,0,3,0,0,0
653,0,37,0,10,14,11,0,2,30,0,0,0
654,0,75,0,73,109,204,22,1,5,0,0,10
655,3,5,0,0,3,0,2,0,0,0,0,0
656,0,3,0,0,0,84,0,0,20,0,0,0
657,0,27,0,3,13,0,4,0,0,0,0,0
658,0,38,0,18,109,41,17,2,203,0,0,0
659,0,68,5239,13,3568,63,496,5,55,19,0,42
660,0,4,89,75,42,0,8,0,0,0,0,0
661,0,45,1008,22,277,3,32,0,15,1,0,0
662,0,255,28,133,68,37,45,11,23,5,0,0
663,0,15,0,23,11,11,11,0,0,0,0,0
664,0,66,84,24,105,2,9,0,0,0,0,0
665,0,90,363,366,717,39,180,8,15,0,0,0
666,0,14,0,14,143,4,105,2,0,0,0,0
667,0,612,175,718,827,12,1561,42,17,35,0,88
668,0,23,40,13,64,0,7,0,1,0,0,0
669,0,158,175,12,141,10,28,0,0,55,0,0
670,0,46,1425,12,281,15,730,0,0,31,0,0
671,0,278,0,0,308,0,292,0,0,0,0,0
672,0,34,120,22,32,1,16,0,0,0,0,0
673,0,16,0,14,17,6,10,0,2,0,0,0
674,0,29,330,3,180,0,46,0,9,3,0,0
675,0,22,117,37,10,6,25,0,0,0,0,0
676,0,143,1619,20,466,10,292,8,24,0,0,0
677,0,121,0,3,115,41,11,0,12,0,0,0
678,0,22,0,27,5,0,2,0,0,0,0,0
679,0,453,0,197,382,183,131,20,51,138,0,4
680,0,2,0,52,0,0,6,0,0,0,0,26
681,0,24,0,2,10,0,7,0,2,0,0,0
682,0,23,0,5,1,0,4,5,0,0,0,0
683,0,9,4,15,0,0,11,0,0,0,0,0
684,0,37,0,16,4,2,3,0,0,0,0,0
685,0,104,10,166,53,70,44,18,17,7,0,0
686,0,66,121,37,59,24,30,0,0,50,0,0
687,0,17,81,24,272,19,17,6,0,0,0,0
688,0,89,0,8,70,1,16,3,0,0,0,0
689,0,66,0,19,56,15,22,5,2,5,0,0
690,0,15,0,9,8,0,24,0,9,0,0,0
691,0,1,0,4,0,3,0,0,20,2,0,0
692,5,8,0,1,0,0,0,0,1,0,0,0
693,0,5,0,27,110,0,41,5,35,0,0,0
694,0,30,27,0,9,0,30,0,0,13,0,0
695,0,24,0,5,67,107,0,0,4,20,0,0
696,0,71,256,37,691,0,84,0,12,0,0,0
697,0,59,70,30,79,47,13,0,0,0,0,0
699,0,22,2,8,114,43,9,0,148,9,0,10
700,0,18,401,7,106,5,7,0,0,0,0,0
701,0,21,43,63,121,5,13,0,0,0,0,0
702,0,19,0,41,9,1,0,0,0,0,0,0
703,0,3,0,1,14,0,3,0,0,0,0,0
704,0,32,3,17,160,33,86,3,10,4,0,0
705,0,4,0,8,12,1,9,0,3,0,0,0
706,0,17,0,7,52,33,85,0,4,0,0,0
707,0,11,0,0,1,0,0,0,0,0,0,0
708,0,0,0,7,40,0,16,0,0,13,0,0
709,0,60,35,6,27,49,29,15,0,0,0,299
710,0,53,0,10,183,190,21,3,34,2,0,14
