GEOID,gq_pop,hh_child,hh_pop,hh_senior,hh_tot,inc_med,inc10,inc100,inc125,inc15,inc150,inc20,inc200,inc200p,inc25,inc30,inc35,inc40,inc45,inc50,inc60,inc75,veh_tot,veh0,veh1,veh2,veh3,veh4,veh5
150030077022,24,520,2603,600,795,111875,0,99,139,31,88,0,54,197,0,52,8,33,25,21,11,37,1919,8,110,320,283,58,16
150030077023,0,469,2154,462,589,151406,39,45,56,0,42,15,207,101,0,0,13,15,11,0,14,31,1356,41,152,176,117,26,77
150030078041,0,452,2280,575,575,122250,8,39,101,4,114,0,69,88,8,29,9,5,5,25,29,42,1463,8,112,212,135,55,53
150030078051,26,421,2496,521,817,104943,8,48,177,8,114,9,61,109,0,23,26,55,0,0,72,107,1688,66,203,292,155,82,19
150030078052,17,359,2185,341,818,85179,0,188,103,7,105,29,61,22,8,52,30,7,20,44,61,81,1532,29,282,333,123,40,11
150030078071,0,130,775,45,184,131829,0,15,0,0,72,0,14,56,0,0,14,0,0,0,13,0,361,0,63,65,56,0,0
150030078072,0,125,1065,45,628,54914,57,81,102,0,19,29,0,0,56,33,27,57,27,0,43,97,636,78,464,86,0,0,0
150030078073,0,60,606,85,367,84519,91,55,42,0,71,0,13,13,0,13,0,0,13,0,31,25,497,43,169,137,18,0,0
150030078074,0,94,1328,356,738,64063,14,156,44,13,12,0,45,13,44,42,14,12,13,27,165,124,866,40,556,116,26,0,0
150030078075,0,147,537,0,265,NA,0,0,51,0,13,0,40,12,12,0,59,30,0,17,14,17,349,59,87,107,0,12,0
150030078076,0,109,850,82,529,74306,54,136,40,13,66,0,15,0,0,0,14,0,15,14,66,96,708,0,365,149,15,0,0
150030078081,17,480,1867,225,430,75833,35,113,24,0,10,19,0,75,0,9,29,19,10,27,9,51,696,77,168,91,40,49,5
150030078082,0,370,1731,274,678,61250,40,41,91,8,84,20,9,30,17,49,74,9,65,25,28,88,1116,67,298,161,128,16,8
150030078091,0,310,1322,265,366,129000,0,44,29,0,20,0,44,125,0,0,18,9,10,29,9,29,948,0,34,173,96,35,28
150030078092,0,386,2111,493,740,116083,9,142,142,0,134,0,102,96,8,9,21,0,8,4,10,55,1562,20,113,432,124,42,9
150030078101,0,375,2672,914,844,120800,17,144,105,0,134,0,133,138,0,9,0,15,53,16,54,26,1818,31,119,490,104,93,7
150030078102,0,84,907,384,337,122321,8,55,57,0,68,0,51,49,0,0,0,7,16,0,9,17,737,0,41,207,74,15,0
150030078103,10,621,2251,321,687,127153,8,128,46,0,68,26,92,199,0,0,8,20,9,11,5,67,1487,0,161,318,170,24,14
150030078111,12,317,2296,592,804,113333,8,68,202,8,64,9,164,80,41,0,48,8,0,8,0,96,1574,8,248,392,91,56,9
150030078112,0,486,2300,562,876,100395,0,154,91,9,140,0,118,92,0,18,22,26,35,9,55,107,1685,17,242,438,149,30,0
150030080011,113,253,1511,417,579,28173,64,66,24,54,6,51,6,17,85,45,36,27,12,6,23,57,712,160,251,82,61,18,7
150030080012,0,158,583,98,201,71761,0,44,12,0,11,2,20,7,19,12,14,0,0,2,22,36,292,19,92,75,10,5,0
150030080021,17,246,1424,364,350,97500,7,62,36,5,16,5,66,53,5,4,5,20,19,5,10,32,859,26,60,127,58,33,46
150030080022,141,259,1510,344,414,95250,9,87,29,5,41,5,59,64,5,14,5,9,23,14,7,38,903,29,128,131,42,49,35
150030080031,11,767,2089,175,569,79716,9,112,76,0,33,0,75,8,28,4,66,18,37,54,1,48,1104,21,152,279,98,7,12
150030080032,19,403,2268,311,1088,55379,68,182,71,36,19,111,16,34,44,14,46,33,93,36,91,194,1328,208,529,285,42,17,7
150030080051,0,657,2719,520,710,109141,17,117,97,0,55,0,64,173,0,11,0,14,18,40,28,76,1758,29,115,243,190,78,55
150030080052,0,489,2867,899,800,109000,38,128,102,12,129,11,95,106,33,0,16,24,11,0,37,58,1968,64,93,298,167,128,50
150030080053,13,111,1137,335,395,107450,47,19,124,0,10,27,52,47,13,0,13,17,11,15,0,0,918,13,108,104,110,28,32
150030080061,57,463,2318,779,784,82500,0,74,115,0,55,0,101,54,104,63,35,15,8,24,34,102,1565,30,281,286,105,45,37
150030080062,38,245,1824,634,660,91684,7,141,107,8,60,16,62,47,36,22,0,0,9,27,57,61,1355,41,120,314,151,22,12
150030080071,0,462,2503,984,725,118281,0,117,130,33,118,0,133,71,8,10,0,8,31,0,25,41,1700,23,139,257,193,97,16
150030080072,43,554,3237,818,830,121818,28,64,139,19,72,9,151,166,0,7,26,9,18,7,16,99,2103,41,162,227,211,120,69
150030083011,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150030083012,0,585,1388,7,335,95028,0,75,31,0,10,0,32,50,0,0,6,2,8,0,121,0,596,0,149,151,15,0,20
150030083013,0,1172,3563,165,1058,94167,0,270,179,5,107,1,130,16,16,0,26,16,60,48,57,127,2036,0,342,509,164,31,12
150030083021,29,677,2006,347,362,84022,9,61,47,0,16,0,22,57,24,6,0,33,0,7,35,45,961,0,52,154,62,55,39
150030083022,58,570,2382,341,424,128000,34,33,55,0,48,9,77,99,0,0,9,8,0,17,26,9,1285,0,43,91,194,35,61
150030083023,0,627,2433,272,478,91563,7,123,40,0,92,7,51,16,0,25,0,8,25,8,60,16,1112,23,127,149,74,69,36
150030084021,0,394,1904,223,546,96563,24,88,108,7,7,0,87,42,26,8,8,0,36,31,33,41,1380,8,123,187,91,106,31
150030084022,47,590,2690,325,597,93906,0,106,70,7,68,30,71,64,0,55,24,15,9,30,24,24,1491,32,89,235,113,59,69
150030084023,88,887,3080,595,643,96331,8,96,91,0,81,10,66,61,0,14,0,94,9,23,21,69,1862,16,60,231,140,88,108
150030084051,0,991,4296,278,1154,117500,9,256,236,0,179,15,222,84,0,0,0,16,0,21,29,87,2779,27,215,449,277,119,67
150030084061,0,2453,7052,487,1725,133487,36,240,220,8,266,0,377,283,0,8,41,0,42,25,62,117,4356,9,250,740,435,151,140
150030084071,0,1266,4007,246,1103,107697,20,203,105,0,190,0,201,96,10,0,49,0,0,17,64,148,2394,12,173,610,231,77,0
